,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,ProductionType,AggregatedInstalledCapacity,DeletedFlag,UpdateTime
866,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Waste,758.0,0,2019-02-04 18:16:52
868,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Nuclear,486.0,0,2019-02-04 18:16:52
870,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Offshore,957.0,0,2019-02-04 18:16:52
872,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil shale,0.0,0,2019-02-04 18:16:52
873,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Geothermal,0.0,0,2019-02-04 18:16:52
876,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Other,0.0,0,2019-02-04 18:16:52
901,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Other renewable,0.0,0,2019-02-04 18:16:53
897,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Marine,0.0,0,2019-02-04 18:16:53
878,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Onshore,3669.0,0,2019-02-04 18:16:52
881,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Water Reservoir,0.0,0,2019-02-04 18:16:52
883,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil,0.0,0,2019-02-04 18:16:52
884,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Solar,3937.0,0,2019-02-04 18:16:52
885,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Run-of-river and poundage,38.0,0,2019-02-04 18:16:52
887,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Biomass,485.0,0,2019-02-04 18:16:52
889,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Pumped Storage,0.0,0,2019-02-04 18:16:52
894,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Brown coal/Lignite,0.0,0,2019-02-04 18:16:52
879,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Hard coal,4631.0,0,2019-02-04 18:16:52
899,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Peat,0.0,0,2019-02-04 18:16:53
865,2019,1,1,2019-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Coal-derived gas,0.0,0,2019-02-04 18:16:52
